,N,Должность,Язык.программирования,Специализация,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Университет,Еще.студент,Уровень.английского,Предметная.область,Дата.заполнения,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
5097,5098,Software Engineer,Python,,4,3,1050,200,Кропивницкий,до 200 человек,Аутсорсинговая,мужской,26,Высшее,Другой вуз,False,элементарный,"Веб-разработка,eCommerce",20/06/2017 10:27:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,3.0,1050,,DEV,1799.07
5173,5174,Junior Software Engineer,Python,,1,0.5,400,100,Львов,до 50 человек,Аутстаффинговая,мужской,24,Незаконченное высшее,Другой вуз,False,ниже среднего,Веб-разработка,20/06/2017 15:49:45,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,0.5,400,,DEV,560.8412698412699
5246,5247,Junior Software Engineer,Python,,1.5,1,550,50,Киев,до 10 человек,Стартап,мужской,25,Высшее,НАУ,False,выше среднего,"Веб-разработка,Другое",20/06/2017 16:27:40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.32 Safari/537.36",1.5,1.0,550,,DEV,560.8412698412699
5257,5258,Junior Software Engineer,Python,,1.5,меньше 3 месяцев,800,400,Днепр,до 50 человек,Аутсорсинговая,мужской,23,Незаконченное высшее,Другой вуз,False,средний,Веб-разработка,20/06/2017 16:28:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",1.5,0.0,800,,DEV,560.8412698412699
5315,5316,Software Engineer,Python,,0.25,меньше 3 месяцев,1500,300,Харьков,до 1000 человек,Аутстаффинговая,мужской,33,Высшее,НТУ «ХПИ»,False,средний,Веб-разработка,20/06/2017 16:31:42,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,0.25,0.0,1500,,DEV,1799.07
5316,5317,Technical Lead,Python,,10 и более лет,7,2700,0,Харьков,до 10 человек,Аутстаффинговая,мужской,31,Незаконченное высшее,ДонНТУ,False,выше среднего,Веб-разработка,20/06/2017 16:31:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,7.0,2700,,SDEV,3165.909090909091
5398,5399,Software Engineer,Python,,10 и более лет,0.25,2000,1000,Ивано-Франковск,до 10 человек,Продуктовая,мужской,33,Незаконченное высшее,НаУКМА,False,продвинутый,"Веб-разработка,Финансы и банки",20/06/2017 16:39:01,Mozilla/5.0 (X11; Linux x86_64; rv:48.0) Gecko/20100101 Firefox/48.0,10.0,0.25,2000,,DEV,1799.07
5426,5427,Software Engineer,Python,,0.5,0.5,900,0,Винница,до 50 человек,Аутсорсинговая,мужской,18,Среднее,,False,выше среднего,"Веб-разработка,eCommerce",20/06/2017 16:42:51,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,900,,DEV,1799.07
5478,5479,Software Engineer,Python,,3,0.25,2000,1000,Киев,до 1000 человек,Другая,мужской,28,Высшее,ХНУРЭ,False,выше среднего,"Веб-разработка,Другое",20/06/2017 16:51:44,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,3.0,0.25,2000,,DEV,1799.07
5498,5499,Software Engineer,Python,,3,0.25,2630,1130,Харьков,до 200 человек,Аутстаффинговая,мужской,23,Высшее,ХНУРЭ,False,выше среднего,"Веб-разработка,Другое",20/06/2017 16:54:57,Mozilla/5.0 (X11; Linux x86_64; rv:55.0) Gecko/20100101 Firefox/55.0,3.0,0.25,2630,,DEV,1799.07
5524,5525,Senior Software Engineer,Python,,7,1.5,3600,0,Львов,до 50 человек,Продуктовая,мужской,28,Высшее,ЛНУ им. Франко,False,выше среднего,"Финансы и банки,Корпоративные системы",20/06/2017 16:59:35,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.137 YaBrowser/17.4.1.955 Yowser/2.5 Safari/537.36",7.0,1.5,3600,,DEV,3387.0967741935483
5529,5530,Junior Software Engineer,Python,,1,1,330,80,Запорожье,до 200 человек,Аутсорсинговая,мужской,22,Высшее,ЗНТУ,False,средний,Веб-разработка,20/06/2017 17:01:09,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",1.0,1.0,330,,DEV,560.8412698412699
5533,5534,Software Engineer,Python,,меньше 3 месяцев,3,2400,1000,Львов,до 200 человек,Аутсорсинговая,мужской,25,Высшее,Львовская Политехника,False,выше среднего,"Веб-разработка,Корпоративные системы",20/06/2017 17:02:09,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",0.0,3.0,2400,,DEV,1799.07
5643,5644,Senior Software Engineer,Python,,8,6,2300,200,Удаленно,до 10 человек,Продуктовая,мужской,28,Высшее,Другой вуз,False,средний,Веб-разработка,20/06/2017 17:34:05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",8.0,6.0,2300,,DEV,3387.0967741935483
5670,5671,Software Engineer,Python,,2,1.5,1200,400,Харьков,до 50 человек,Аутсорсинговая,мужской,26,Высшее,ХНУРЭ,False,средний,Веб-разработка,20/06/2017 17:44:56,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3128.3 Safari/537.36",2.0,1.5,1200,,DEV,1799.07
5716,5717,Senior Software Engineer,Python,,4,4,1400,300,Киев,до 10 человек,Другая,мужской,30,Высшее,КНУ им. Шевченко,False,средний,"Веб-разработка,Мультимедиа",20/06/2017 18:15:44,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.110 Safari/537.36",4.0,4.0,1400,,DEV,3387.0967741935483
5748,5749,System Architect,Python,,10 и более лет,0.25,3000,0,Киев,до 50 человек,Продуктовая,мужской,40,Высшее,СумГУ,False,выше среднего,"Веб-разработка,eCommerce",20/06/2017 18:40:40,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,0.25,3000,,SDEV,4000.0
5773,5774,Software Engineer,Python,,2,2,2000,600,Киев,до 200 человек,Продуктовая,мужской,30,Высшее,НТУУ «КПИ»,False,ниже среднего,Веб-разработка,20/06/2017 19:13:15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,2000,,DEV,1799.07
5835,5836,Junior Software Engineer,Python,,меньше 3 месяцев,меньше 3 месяцев,400,0,Киев,до 10 человек,Стартап,мужской,26,Высшее,КНУ им. Шевченко,False,средний,Корпоративные системы,20/06/2017 20:33:24,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,0.0,0.0,400,,DEV,560.8412698412699
6026,6027,Junior Software Engineer,Python,,1,0.25,700,700,Киев,до 50 человек,Аутсорсинговая,женский,22,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,Веб-разработка,21/06/2017 08:52:15,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,1.0,0.25,700,,DEV,560.8412698412699
6038,6039,Software Engineer,Python,,2,меньше 3 месяцев,2850,1000,Киев,свыше 1000 человек,Аутстаффинговая,мужской,25,Высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,21/06/2017 09:10:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,2850,,DEV,1799.07
6061,6062,Junior Software Engineer,Python,,меньше 3 месяцев,меньше 3 месяцев,300,0,Киев,до 50 человек,Аутсорсинговая,мужской,22,Незаконченное высшее,НТУУ «КПИ»,False,средний,Веб-разработка,21/06/2017 09:54:56,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",0.0,0.0,300,,DEV,560.8412698412699
6090,6091,Software Engineer,Python,,3,1,1100,500,Харьков,до 50 человек,Аутстаффинговая,мужской,23,Высшее,ХАИ,False,выше среднего,Веб-разработка,21/06/2017 10:40:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",3.0,1.0,1100,,DEV,1799.07
6142,6143,Software Engineer,Python,,2,0.5,2200,1000,Киев,до 50 человек,Аутстаффинговая,мужской,31,Высшее,КНУ им. Шевченко,False,выше среднего,"Веб-разработка,Другое",21/06/2017 12:15:54,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.5,2200,,DEV,1799.07
6166,6167,Software Engineer,Python,,0.25,0.25,700,0,Киев,до 50 человек,Другая,мужской,23,Высшее,НТУУ «КПИ»,True,средний,Веб-разработка,21/06/2017 12:53:11,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",0.25,0.25,700,,DEV,1799.07
6192,6193,Technical Lead,Python,,3,3,3700,0,Одесса,до 10 человек,Продуктовая,мужской,30,Высшее,НУК,False,выше среднего,Корпоративные системы,21/06/2017 13:55:30,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,3.0,3.0,3700,,SDEV,3165.909090909091
6198,6199,Software Engineer,Python,,10 и более лет,2,2950,300,Киев,до 10 человек,Аутстаффинговая,мужской,37,Два высших,СумГУ,False,выше среднего,"Веб-разработка,Другое",21/06/2017 14:12:20,"Mozilla/5.0 (Linux; Android 6.0.1; SM-J700H Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",10.0,2.0,2950,,DEV,1799.07
6252,6253,Junior Software Engineer,Python,,1,1,400,0,Днепр,до 50 человек,Аутстаффинговая,мужской,21,Высшее,Другой вуз,False,выше среднего,,21/06/2017 17:27:51,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36",1.0,1.0,400,,DEV,560.8412698412699
6283,6284,Senior Software Engineer,Python,,6,1,3100,600,Харьков,до 1000 человек,Аутстаффинговая,мужской,36,Два высших,ХНУРЭ,False,выше среднего,"Веб-разработка,eCommerce",21/06/2017 18:36:11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",6.0,1.0,3100,,DEV,3387.0967741935483
6345,6346,Junior Software Engineer,Python,,1.5,1,1000,400,Киев,до 50 человек,Продуктовая,мужской,22,Незаконченное высшее,НАУ,True,средний,"Веб-разработка,Корпоративные системы",22/06/2017 01:14:44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5",1.5,1.0,1000,,DEV,560.8412698412699
6497,6498,Senior Software Engineer,Python,,6,0.5,3300,300,Киев,до 10 человек,Стартап,мужской,30,Высшее,НТУУ «КПИ»,False,выше среднего,"Веб-разработка,eCommerce",23/06/2017 00:03:37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,0.5,3300,,DEV,3387.0967741935483
6533,6534,Junior Software Engineer,Python,,1.5,0.5,400,200,Киев,до 50 человек,Другая,мужской,30,Высшее,НТУУ «КПИ»,False,ниже среднего,"Desktop Applications,Веб-разработка",23/06/2017 11:17:38,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",1.5,0.5,400,,DEV,560.8412698412699
6549,6550,Senior Software Engineer,Python,,10 и более лет,0.25,2500,0,Киев,до 10 человек,Продуктовая,мужской,45,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,23/06/2017 12:31:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.25,2500,,DEV,3387.0967741935483
6619,6620,Software Engineer,Python,,2,1.5,1950,850,Киев,до 10 человек,Продуктовая,мужской,23,Высшее,НТУУ «КПИ»,False,продвинутый,Веб-разработка,23/06/2017 22:30:19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,1.5,1950,,DEV,1799.07
6714,6715,Senior Software Engineer,Python,,6,1,3300,800,Киев,до 10 человек,Стартап,мужской,26,Высшее,ГУТ,False,средний,Веб-разработка,25/06/2017 14:57:16,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",6.0,1.0,3300,,DEV,3387.0967741935483
6729,6730,Senior Software Engineer,Python,,6,4,3000,150,Харьков,свыше 1000 человек,Аутсорсинговая,мужской,29,Высшее,ХНУРЭ,False,средний,"Веб-разработка,Корпоративные системы",25/06/2017 18:42:40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",6.0,4.0,3000,,DEV,3387.0967741935483
6750,6751,Software Engineer,Python,,1.5,1,1272,768,Другой,до 50 человек,Аутсорсинговая,мужской,20,Незаконченное высшее,Другой вуз,True,средний,Веб-разработка,26/06/2017 01:26:47,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",1.5,1.0,1272,,DEV,1799.07
6789,6790,Senior Software Engineer,Python,,7,меньше 3 месяцев,5000,0,Киев,до 200 человек,Стартап,мужской,28,Высшее,НТУУ «КПИ»,False,продвинутый,"Веб-разработка,Системное программирование",26/06/2017 11:14:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",7.0,0.0,5000,,DEV,3387.0967741935483
6865,6866,Software Engineer,Python,,3,меньше 3 месяцев,1600,400,Харьков,до 50 человек,Аутстаффинговая,мужской,23,Высшее,ХНУ им. Каразина,False,продвинутый,Другое,26/06/2017 11:41:55,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0,3.0,0.0,1600,,DEV,1799.07
6910,6911,Technical Lead,Python,,10 и более лет,10 и более лет,2500,200,Херсон,до 50 человек,Продуктовая,мужской,30,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,26/06/2017 12:16:50,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,10.0,10.0,2500,,SDEV,3165.909090909091
6948,6949,Software Engineer,Python,,1,0.5,1200,600,Киев,свыше 1000 человек,Аутсорсинговая,мужской,25,Высшее,НАУ,False,средний,"Embedded,Телекоммуникации",26/06/2017 13:27:29,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",1.0,0.5,1200,,DEV,1799.07
7049,7050,Junior Software Engineer,Python,,1,1,900,300,Киев,до 50 человек,Стартап,мужской,23,Незаконченное высшее,НТУУ «КПИ»,True,средний,"Веб-разработка,eCommerce",26/06/2017 19:53:03,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,900,,DEV,560.8412698412699
7050,7051,Software Engineer,Python,,4,1,1400,500,Львов,до 1000 человек,Аутстаффинговая,мужской,34,Незаконченное высшее,ХНУ им. Каразина,False,средний,Веб-разработка,26/06/2017 20:07:02,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",4.0,1.0,1400,,DEV,1799.07
7084,7085,Software Engineer,Python,,2,меньше 3 месяцев,2000,1400,Киев,до 10 человек,Стартап,мужской,21,Высшее,НТУУ «КПИ»,True,средний,Веб-разработка,26/06/2017 23:36:13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,2000,,DEV,1799.07
7098,7099,Senior Software Engineer,Python,,5,4,2600,100,Винница,до 200 человек,Аутсорсинговая,мужской,31,Высшее,ДонНТУ,False,средний,"Веб-разработка,eCommerce",27/06/2017 01:20:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,4.0,2600,,DEV,3387.0967741935483
7140,7141,Junior Software Engineer,Python,,меньше 3 месяцев,меньше 3 месяцев,100,0,Харьков,до 50 человек,Аутсорсинговая,женский,20,Высшее,НТУ «ХПИ»,True,ниже среднего,"Веб-разработка,eCommerce",27/06/2017 12:07:48,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,100,,DEV,560.8412698412699
7159,7160,Junior Software Engineer,Python,,1.5,меньше 3 месяцев,800,500,Киев,до 10 человек,Стартап,мужской,22,Незаконченное высшее,НТУУ «КПИ»,False,ниже среднего,"Веб-разработка,eCommerce",27/06/2017 13:51:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.0,800,,DEV,560.8412698412699
7208,7209,Software Engineer,Python,,2,2,950,345,Запорожье,до 200 человек,Аутсорсинговая,мужской,22,Незаконченное высшее,ЗНТУ,False,выше среднего,"Веб-разработка,Финансы и банки",27/06/2017 20:17:21,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,950,,DEV,1799.07
7399,7400,Junior Software Engineer,Python,,1,1,1000,400,Киев,до 50 человек,Продуктовая,мужской,24,Незаконченное высшее,НТУУ «КПИ»,False,ниже среднего,"Веб-разработка,Другое",29/06/2017 16:33:56,"Mozilla/5.0 (Linux; Android 6.0.1; SM-J700H Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,1.0,1000,,DEV,560.8412698412699
7404,7405,Software Engineer,Python,,2,1,1100,400,Киев,свыше 1000 человек,Аутсорсинговая,мужской,26,Высшее,КНУСА,False,средний,"Веб-разработка,Корпоративные системы",29/06/2017 16:53:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,1100,,DEV,1799.07
7457,7458,Junior Software Engineer,Python,,меньше 3 месяцев,меньше 3 месяцев,250,50,Киев,до 10 человек,Стартап,мужской,23,Высшее,КНУ им. Шевченко,False,выше среднего,Корпоративные системы,30/06/2017 13:10:02,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,0.0,0.0,250,,DEV,560.8412698412699
7473,7474,Junior Software Engineer,Python,,0.5,0.5,400,100,Запорожье,до 50 человек,Аутсорсинговая,женский,21,Незаконченное высшее,ЗНТУ,True,выше среднего,Веб-разработка,30/06/2017 15:15:06,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,0.5,0.5,400,,DEV,560.8412698412699
7783,7784,Senior Software Engineer,Python,,5,меньше 3 месяцев,3200,700,Киев,до 200 человек,Аутстаффинговая,мужской,24,Незаконченное высшее,НТУУ «КПИ»,False,выше среднего,"Android,Веб-разработка",04/07/2017 14:36:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",5.0,0.0,3200,,DEV,3387.0967741935483
7881,7882,Software Engineer,Python,,2,1,750,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,21,Высшее,Другой вуз,False,ниже среднего,"Desktop Applications,Системное программирование",05/07/2017 11:57:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",2.0,1.0,750,,DEV,1799.07
7981,7982,Software Engineer,Python,,5,5,2850,0,Киев,до 200 человек,Продуктовая,женский,29,Высшее,Другой вуз,False,выше среднего,Веб-разработка,06/07/2017 11:44:17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,2850,,DEV,1799.07
8073,8074,Senior Software Engineer,Python,,6,0.25,4300,1000,Киев,до 50 человек,Стартап,мужской,28,Высшее,ДонНТУ,False,средний,"Веб-разработка,Другое",06/07/2017 12:28:56,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",6.0,0.25,4300,,DEV,3387.0967741935483
8117,8118,Senior Software Engineer,Python,,10 и более лет,1.5,4500,0,Киев,до 10 человек,Продуктовая,мужской,30,Высшее,КНУ им. Шевченко,False,выше среднего,eCommerce,06/07/2017 13:36:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",10.0,1.5,4500,,DEV,3387.0967741935483
8120,8121,Senior Software Engineer,Python,,9,1,4000,0,Киев,до 1000 человек,Продуктовая,мужской,27,Высшее,ХНУРЭ,False,продвинутый,"Веб-разработка,Другое",06/07/2017 13:41:09,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:54.0) Gecko/20100101 Firefox/54.0,9.0,1.0,4000,,DEV,3387.0967741935483
8225,8226,Senior Software Engineer,Python,,10 и более лет,2,5000,500,Киев,свыше 1000 человек,Продуктовая,мужской,31,Высшее,НТУУ «КПИ»,False,выше среднего,Gamedev,06/07/2017 18:44:25,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",10.0,2.0,5000,,DEV,3387.0967741935483
8228,8229,System Architect,Python,,10 и более лет,2,5000,0,Киев,до 10 человек,Продуктовая,мужской,31,Высшее,НТУУ «КПИ»,False,средний,"Веб-разработка,Другое",06/07/2017 19:15:05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",10.0,2.0,5000,,SDEV,4000.0
8381,8382,Technical Lead,Python,,7,1,3000,1000,Удаленно,до 10 человек,Стартап,мужской,24,Незаконченное высшее,ВНУ им. Даля,False,выше среднего,"Веб-разработка,Корпоративные системы",07/07/2017 19:51:15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",7.0,1.0,3000,,SDEV,3165.909090909091
8398,8399,Software Engineer,Python,,1,1,800,500,Харьков,до 50 человек,Аутсорсинговая,мужской,33,Высшее,ХНУ им. Каразина,False,средний,Desktop Applications,07/07/2017 22:56:21,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",1.0,1.0,800,,DEV,1799.07
8445,8446,Technical Lead,Python,,7,7,1900,150,Львов,до 200 человек,Продуктовая,мужской,29,Высшее,Львовская Политехника,False,выше среднего,"Веб-разработка,Корпоративные системы",08/07/2017 18:46:55,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",7.0,7.0,1900,,SDEV,3165.909090909091
8502,8503,Junior Software Engineer,Python,,2,1,1250,800,Киев,свыше 1000 человек,Аутсорсинговая,мужской,21,Высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,09/07/2017 20:48:08,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.90 Safari/537.36",2.0,1.0,1250,,DEV,560.8412698412699
8523,8524,Junior Software Engineer,Python,,0.25,0.25,185,0,Киев,до 50 человек,Другая,женский,19,Незаконченное высшее,НАУ,True,средний,Веб-разработка,10/07/2017 10:26:33,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 4 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36",0.25,0.25,185,,DEV,560.8412698412699
8546,8547,Software Engineer,Python,,5,1,2000,800,Запорожье,до 50 человек,Аутсорсинговая,мужской,22,Незаконченное высшее,Другой вуз,False,средний,Веб-разработка,10/07/2017 14:11:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,1.0,2000,,DEV,1799.07
8625,8626,Software Engineer,Python,,4,1,1750,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,28,Среднее,,False,средний,Веб-разработка,11/07/2017 16:15:40,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,4.0,1.0,1750,,DEV,1799.07
8635,8636,Senior Software Engineer,Python,,10 и более лет,меньше 3 месяцев,4000,1300,Удаленно,до 10 человек,Стартап,мужской,33,Высшее,ДонНТУ,False,выше среднего,Веб-разработка,11/07/2017 17:51:36,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,0.0,4000,,DEV,3387.0967741935483
8673,8674,Junior Software Engineer,Python,,0.5,0.5,350,50,Киев,до 50 человек,Аутсорсинговая,мужской,22,Высшее,НТУУ «КПИ»,False,средний,Веб-разработка,12/07/2017 09:37:16,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0,0.5,0.5,350,,DEV,560.8412698412699
